Identifier,Predefined symbol,Language
0x00,,Reserved
0x01,LANG_ARABIC,Arabic
0x02,LANG_BULGARIAN,Bulgarian
0x03,LANG_CATALAN,Catalan
0x04,LANG_CHINESE,Chinese
0x05,LANG_CZECH,Czech
0x06,LANG_DANISH,Danish
0x07,LANG_GERMAN,German
0x08,LANG_GREEK,Greek
0x09,LANG_ENGLISH,English
0x0a,LANG_SPANISH,Spanish
0x0b,LANG_FINNISH,Finnish
0x0c,LANG_FRENCH,French
0x0d,LANG_HEBREW,Hebrew
0x0e,LANG_HUNGARIAN,Hungarian
0x0f,LANG_ICELANDIC,Icelandic
0x10,LANG_ITALIAN,Italian
0x11,LANG_JAPANESE,Japanese
0x12,LANG_KOREAN,Korean
0x13,LANG_DUTCH,Dutch
0x14,LANG_NORWEGIAN,Norwegian
0x15,LANG_POLISH,Polish
0x16,LANG_PORTUGUESE,Portuguese
0x18,LANG_ROMANIAN,Romanian
0x19,LANG_RUSSIAN,Russian
0x1a,LANG_CROATIAN,Croatian
0x1a,LANG_SERBIAN,Serbian
0x1b,LANG_SLOVAK,Slovak
0x1c,LANG_ALBANIAN,Albanian
0x1d,LANG_SWEDISH,Swedish
0x1e,LANG_THAI,Thai
0x1f,LANG_TURKISH,Turkish
0x20,LANG_URDU,Urdu
0x21,LANG_INDONESIAN,Indonesian
0x22,LANG_UKRANIAN,Ukrainian
0x23,LANG_BELARUSIAN,Belarusian
0x24,LANG_SLOVENIAN,Slovenian
0x25,LANG_ESTONIAN,Estonian
0x26,LANG_LATVIAN,Latvian
0x27,LANG_LITHUANIAN,Lithuanian
0x29,LANG_FARSI,Farsi
0x2a,LANG_VIETNAMESE,Vietnamese
0x2b,LANG_ARMENIAN,Armenian
0x2c,LANG_AZERI,Azeri
0x2d,LANG_BASQUE,Basque
0x2f,LANG_MACEDONIAN,Macedonian
0x36,LANG_AFRIKAANS,Afrikaans
0x37,LANG_GEORGIAN,Georgian
0x38,LANG_FAEROESE,Faeroese
0x39,LANG_HINDI,Hindi
0x3e,LANG_MALAY,Malay
0x3f,LANG_KAZAK,Kazak
0x41,LANG_SWAHILI,Swahili
0x43,LANG_UZBEK,Uzbek
0x44,LANG_TATAR,Tatar
0x45,LANG_BENGALI,Bengali
0x46,LANG_PUNJABI,Punjabi
0x47,LANG_GUJARATI,Gujarati
0x48,LANG_ORIYA,Oriya
0x49,LANG_TAMIL,Tamil
0x4a,LANG_TELUGU,Telugu
0x4b,LANG_KANNADA,Kannada
0x4c,LANG_MALAYALAM,Malayalam
0x4d,LANG_ASSAMESE,Assamese
0x4e,LANG_MARATHI,Marathi
0x4f,LANG_SANSKRIT,Sanskrit
0x57,LANG_KONKANI,Konkani
0x58,LANG_MANIPURI,Manipuri
0x59,LANG_SINDHI,Sindhi
0x60,LANG_KASHMIRI,Kashmiri
0x61,LANG_NEPALI,Nepali
0x62-0xfe,,Reserved
0xff,LANG_HID,Reserved for USB HID Class use
0x100-0x3ff,,Reserved
